;;;Nombre del consorcio
GASTOS BANCARIOS;BANCO CREDICOOP - Gastos bancario;;Azcuenaga
GASTOS DE ADMINISTRACION;FLAVIO HERNAN DIAZ - Honorarios;;Azcuenaga
SEGUROS;FEDERACIÓN PATRONAL SEGUROS - Integral de consorcio;;Azcuenaga
SERVICIOS PUBLICOS;AYSA ;Cuenta 195329;Azcuenaga
SERVICIOS PUBLICOS;EDENOR;cuenta 4363152506;Azcuenaga
GASTOS DE LIMPIEZA;Serv. Limpieza;Limptech;Azcuenaga
GASTOS BANCARIOS;BANCO CREDICOOP - Gastos bancario;;Alzaga
GASTOS DE ADMINISTRACION;FLAVIO HERNAN DIAZ - Honorarios;;Alzaga
SEGUROS;FEDERACIÓN PATRONAL SEGUROS - Integral de consorcio;;Alzaga
SERVICIOS PUBLICOS;AYSA ;Cuenta 174329;Alzaga
SERVICIOS PUBLICOS;EDENOR;cuenta 4363125506;Alzaga
GASTOS DE LIMPIEZA;Serv. Limpieza;Limpi AR;Alzaga
SEGUROS;FEDERACIÓN PATRONAL SEGUROS - Integral de consorcio;;Alberdi
SERVICIOS PUBLICOS;AYSA ;Cuenta 215329;Alberdi
SERVICIOS PUBLICOS;EDENOR;cuenta 4463152506;Alberdi
GASTOS DE LIMPIEZA;Serv. Limpieza;Clean SA;Alberdi
GASTOS BANCARIOS;BANCO CREDICOOP - Gastos bancario;;Unzue
GASTOS DE ADMINISTRACION;FLAVIO HERNAN DIAZ - Honorarios;;Unzue
SEGUROS;FEDERACIÓN PATRONAL SEGUROS - Integral de consorcio;;Unzue
SERVICIOS PUBLICOS;AYSA ;Cuenta 544329;Unzue
SERVICIOS PUBLICOS;EDENOR;cuenta 4447852506;Unzue
GASTOS DE LIMPIEZA;Serv. Limpieza;Limpieza General SA;Unzue
GASTOS BANCARIOS;BANCO CREDICOOP - Gastos bancario;;Pereyra Iraola
GASTOS DE ADMINISTRACION;FLAVIO HERNAN DIAZ - Honorarios;;Pereyra Iraola
SEGUROS;FEDERACIÓN PATRONAL SEGUROS - Integral de consorcio;;Pereyra Iraola
SERVICIOS PUBLICOS;AYSA ;Cuenta 5147329;Pereyra Iraola
SERVICIOS PUBLICOS;EDENOR;cuenta 445742506;Pereyra Iraola
GASTOS DE LIMPIEZA;Serv. Limpieza;Limptech;Pereyra Iraola
